Periodo,Total,TIPO DE TRANSPORTE,Ciudad
2022-12-01,86.00999999999999,autobus y metro,Madrid
2023-01-01,89.08699999999999,autobus y metro,Madrid
2023-02-01,90.55799999999999,autobus y metro,Madrid
2023-03-01,101.861,autobus y metro,Madrid
2023-04-01,89.14699999999999,autobus y metro,Madrid
2023-05-01,97.727,autobus y metro,Madrid
2023-06-01,97.148,autobus y metro,Madrid
2023-07-01,83.643,autobus y metro,Madrid
2023-08-01,64.464,autobus y metro,Madrid
2023-09-01,97.288,autobus y metro,Madrid
2023-10-01,106.346,autobus y metro,Madrid
2023-11-01,103.555,autobus y metro,Madrid
2023-12-01,96.119,autobus y metro,Madrid
2024-01-01,99.11699999999999,autobus y metro,Madrid
2024-02-01,102.945,autobus y metro,Madrid
2024-03-01,98.19900000000001,autobus y metro,Madrid
2024-04-01,108.47,autobus y metro,Madrid
2024-05-01,104.789,autobus y metro,Madrid
2024-06-01,99.773,autobus y metro,Madrid
2024-07-01,86.524,autobus y metro,Madrid
2024-08-01,65.37899999999999,autobus y metro,Madrid
2024-09-01,99.95500000000001,autobus y metro,Madrid
